,'year','municipality','province','population','latitude','longitude','surface_km2','surface_land_km2','surface_water_km2','university','flag_color1','flag_color2','flag_color3','flag_color4','shield_symbol_1','shield_symbol_2','shield_symbol_3','shieldholder_1','shieldholder_2','shield_crown','asylum_migrants','avg_household_income','avg_woz','avg_ww_ratio','murders'
303,2018,'Terschelling','Friesland',4769,53.397875,5.346679,674,86.2,587.8,0,'red','blue','yellow','green','lion','tree','seahorse',NA,NA,'crown',NA,NA,NA,NA,NA
304,2018,'Texel','Noord-Holland',13566,53.054763,4.797715,463.2,161.1,302,0,'green','black',NA,NA,'lion','anchor',NA,NA,NA,NA,NA,NA,NA,NA,NA
305,2018,'Teylingen','Zuid-Holland',35723,52.222004,4.513404,33.5,28.6,4.9,0,'yellow','red','black',NA,'lion',NA,NA,'lion','lion','crown',NA,NA,NA,NA,NA
306,2018,'Tholen','Zeeland',25398,51.533271,4.216222,254,147.1,106.9,0,'yellow','red','white','blue','ship','lion',NA,NA,NA,'crown',NA,NA,NA,NA,NA
307,2018,'Tiel','Gelderland',41729,51.887618,5.427877,34.8,32.3,2.5,0,'yellow','black',NA,NA,'eagle','lion',NA,'lion','lion','crown',NA,NA,NA,NA,NA
308,2018,'Tilburg','Noord-Brabant',210382,51.560596,5.091914,119.2,117.3,1.9,1,'blue','yellow',NA,NA,'stronghold',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,2018,'Tubbergen','Overijssel',21216,52.408907,6.785489,147.4,147,0.4,0,'blue','yellow',NA,NA,'lion','cross','mountain',NA,NA,'crown',NA,NA,NA,NA,NA
310,2018,'Twenterand','Overijssel',33939,52.450068,6.620745,108.1,106.3,1.8,0,'green','white','blue',NA,'oak','lion','diamond',NA,NA,'crown',NA,NA,NA,NA,NA
311,2018,'Tynaarlo','Drenthe',32506,53.101283,6.576097,147.7,143.5,4.2,0,'red','green','yellow','white','horse','raven','flower',NA,NA,'crown',NA,NA,NA,NA,NA
312,2018,'Tytsjerksteradiel','Friesland',31980,53.176038,5.97868,161.4,149.4,12,0,'red','white','green','blue',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,2018,'Uden','Noord-Brabant',40934,51.663107,5.623923,67.5,67.1,0.5,0,'blue','yellow',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,2018,'Uitgeest','Noord-Holland',13242,52.531225,4.712046,22.3,19.2,3.1,0,'black','white','red',NA,'lion',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,2018,'Uithoorn','Noord-Holland',28407,52.244627,4.831734,19.4,18.2,1.2,0,'blue','yellow','red','orange','child','horn',NA,NA,NA,NA,NA,NA,NA,NA,NA
316,2018,'Urk','Flevoland',19487,52.663053,5.598947,109.9,11.5,98.4,0,'blue','white','red',NA,'fish',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,2018,'Utrecht','Utrecht',328577,52.090737,5.12142,99.2,94.3,4.9,1,'red','white',NA,NA,NA,NA,NA,'lion','lion','crown',NA,NA,NA,NA,NA
318,2018,'Utrechtse Heuvelrug','Utrecht',47939,52.052203,5.282495,134.1,132.2,1.9,0,'red','yellow','grey','black','cross','lion','lily',NA,NA,'crown',NA,NA,NA,NA,NA
